Dim,SQ_INSTS_LDS,SQ_INSTS_VMEM_RD,SIMD_UTILIZATION,OccupancyPercent,MemUnitStalled,LdsLatency
1024,90112.000000,24576.000000,5.57310715e-01,34.541708,5.01525511e-02,69.137795
2048,360448.000000,98304.000000,7.20461429e-01,44.052986,4.73086829e-01,66.790605
4096,1441792.000000,393216.000000,8.61625116e-01,58.079640,2.12214239e-01,67.368288
8192,5767168.000000,1572864.000000,9.51227283e-01,67.649975,2.78277295e-01,67.195687
