Dim,SQ_INSTS_LDS,SQ_INSTS_VMEM_RD,SIMD_UTILIZATION,OccupancyPercent,MemUnitStalled,LdsLatency
1024,90112.000000,24576.000000,5.40809426e-01,28.818366,8.44260218e-02,66.888539
2048,360448.000000,98304.000000,7.30049308e-01,50.302145,3.19327341e-01,66.163311
4096,1441792.000000,393216.000000,8.92508803e-01,63.728107,3.11430844e-01,66.993657
8192,5767168.000000,1572864.000000,9.66286018e-01,70.351110,2.66896588e-01,67.517128
