Correlation_Id,FETCH_SIZE,MemUnitStalled,TCC_EA0_RDREQ_sum,TCC_EA0_RDREQ_LEVEL_sum,TCC_EA0_WRREQ_sum,TCC_EA0_WRREQ_LEVEL_sum,TCC_EA0_RDREQ_DRAM_sum,TCC_EA0_WRREQ_DRAM_sum,TCC_HIT_sum,TCC_MISS_sum,SQ_INSTS_VMEM_RD,SQ_INST_LEVEL_VMEM
1,1609497.375000,2.18390771e-01,12876312.000000,16107649148.000000,6250000.000000,2309847438.000000,12876308.000000,6250001.000000,1160965.000000,19121260.000000,2343750.000000,107576523.000000
2,1609496.312500,2.22880494e-01,12876314.000000,16060693135.000000,6250002.000000,2342570950.000000,12876305.000000,6250005.000000,1159408.000000,19121257.000000,2343750.000000,104750533.000000
